latitude,longitude,magnitude
42.0746,-71.4768,1536
42.2441,-72.1511,1170
42.588838,-70.785459,7137
42.5942,-71.013,3600
42.530242,-71.046122,10500
42.26764,-70.96382,1456
42.5959,-72.2267,888
42.4829,-71.1574,1100
19.400059,-154.931602,3210
42.6789,-72.0475,1116
35.230091,-75.632243,1905
42.2836,-71.1295,1250
44.54584,-70.550159,3255
42.5959,-72.2267,1033
42.5959,-72.2267,888
42.854222,-70.92087,1363
41.9775,-71.3298,1060
41.6883,-71.1574,884
42.291575,-71.589118,780
42.245,-71.838,1890
42.5326,-70.9612,925
43.447893,-71.061666,1344
41.9296,-71.3009,1435
41.8378,-71.3224,2185
42.2441,-72.1511,1170
42.6764,-71.3186,1434
41.6409,-70.8896,1148
41.6211,-71.089,1328
28.313996,-80.611303,1554
42.4751,-71.4483,4227
42.5519,-71.2518,2496
41.9104,-70.642,1854
41.4841,-81.9289,900
41.5968,-70.5671,1008
42.627865,-71.158705,1600
28.313996,-80.611303,1554
42.728,-71.181,2221
42.290157,-71.118143,2100
42.290157,-71.118143,2100
42.378783,-71.152288,2000
42.4984,-70.8653,2900
42.273887,-71.004614,600
43.7165,-73.7825,1700
42.3389,-70.9196,1500
